date,cash,dividend_receivable,market_value,total_value,transaction_cost
2006-01-04,100000.0,0,0.0,100000.0,0.0
2006-01-05,100000.0,0,0.0,100000.0,0.0
2006-01-06,100000.0,0,0.0,100000.0,0.0
2006-01-09,100000.0,0,0.0,100000.0,0.0
2006-01-10,100000.0,0,0.0,100000.0,0.0
2006-01-11,100000.0,0,0.0,100000.0,0.0
2006-01-12,100000.0,0,0.0,100000.0,0.0
2006-01-13,100000.0,0,0.0,100000.0,0.0
2006-01-16,100000.0,0,0.0,100000.0,0.0
2006-01-17,100000.0,0,0.0,100000.0,0.0
2006-01-18,100000.0,0,0.0,100000.0,0.0
2006-01-19,100000.0,0,0.0,100000.0,0.0
2006-01-20,100000.0,0,0.0,100000.0,0.0
2006-01-23,100000.0,0,0.0,100000.0,0.0
2006-01-24,100000.0,0,0.0,100000.0,0.0
2006-01-25,100000.0,0,0.0,100000.0,0.0
2006-02-06,100000.0,0,0.0,100000.0,0.0
2006-02-07,100000.0,0,0.0,100000.0,0.0
2006-02-08,100000.0,0,0.0,100000.0,0.0
2006-02-09,100000.0,0,0.0,100000.0,0.0
2006-02-10,100000.0,0,0.0,100000.0,0.0
2006-02-13,100000.0,0,0.0,100000.0,0.0
2006-02-14,100000.0,0,0.0,100000.0,0.0
2006-02-15,100000.0,0,0.0,100000.0,0.0
2006-02-16,100000.0,0,0.0,100000.0,0.0
2006-02-17,100000.0,0,0.0,100000.0,0.0
2006-02-20,100000.0,0,0.0,100000.0,0.0
2006-02-21,100000.0,0,0.0,100000.0,0.0
2006-02-22,100000.0,0,0.0,100000.0,0.0
2006-02-23,100000.0,0,0.0,100000.0,0.0
2006-02-24,100000.0,0,0.0,100000.0,0.0
2006-02-27,100000.0,0,0.0,100000.0,0.0
2006-02-28,100000.0,0,0.0,100000.0,0.0
2006-03-01,100000.0,0,0.0,100000.0,0.0
2006-03-02,100000.0,0,0.0,100000.0,0.0
2006-03-03,100000.0,0,0.0,100000.0,0.0
2006-03-06,100000.0,0,0.0,100000.0,0.0
2006-03-07,100000.0,0,0.0,100000.0,0.0
2006-03-08,100000.0,0,0.0,100000.0,0.0
2006-03-09,100000.0,0,0.0,100000.0,0.0
2006-03-10,100000.0,0,0.0,100000.0,0.0
2006-03-13,100000.0,0,0.0,100000.0,0.0
2006-03-14,100000.0,0,0.0,100000.0,0.0
2006-03-15,100000.0,0,0.0,100000.0,0.0
2006-03-16,100000.0,0,0.0,100000.0,0.0
2006-03-17,100000.0,0,0.0,100000.0,0.0
2006-03-20,304.948,0,99615.36,99920.308,79.692
2006-03-21,304.948,0,99912.96,100217.908,0.0
2006-03-22,304.948,0,100576.32,100881.268,0.0
2006-03-23,304.948,0,100659.84,100964.788,0.0
2006-03-24,304.948,0,100089.6,100394.548,0.0
2006-03-27,304.948,0,100395.84,100700.788,0.0
2006-03-28,304.948,0,101374.08,101679.028,0.0
2006-03-29,304.948,0,102267.84,102572.788,0.0
2006-03-30,304.948,0,101340.48,101645.428,0.0
2006-03-31,304.948,0,101864.64,102169.588,0.0
2006-04-03,304.948,0,103614.72,103919.668,0.0
2006-04-04,304.948,0,104579.52,104884.468,0.0
2006-04-05,304.948,0,105597.12,105902.068,0.0
