date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2006-01-04,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-05,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-06,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-09,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-10,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-11,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-12,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-13,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-16,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-17,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-18,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-19,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-20,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-23,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-24,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-25,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-06,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-07,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-08,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-09,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-10,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-13,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-14,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-15,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-16,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-17,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-20,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-21,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-22,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-23,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-24,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-27,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-28,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-01,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-02,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-03,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-06,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-07,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-08,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-09,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-10,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-13,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-14,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-15,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-16,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-17,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-20,304.948,99615.36,1.0,99920.308,0.999203,100000
2006-03-21,304.948,99912.96,0.999,100217.908,1.002179,100000
2006-03-22,304.948,100576.32,1.002,100881.268,1.008813,100000
2006-03-23,304.948,100659.84,1.009,100964.788,1.009648,100000
2006-03-24,304.948,100089.6,1.01,100394.548,1.003945,100000
2006-03-27,304.948,100395.84,1.004,100700.788,1.007008,100000
2006-03-28,304.948,101374.08,1.007,101679.028,1.01679,100000
2006-03-29,304.948,102267.84,1.017,102572.788,1.025728,100000
2006-03-30,304.948,101340.48,1.026,101645.428,1.016454,100000
2006-03-31,304.948,101864.64,1.016,102169.588,1.021696,100000
2006-04-03,304.948,103614.72,1.022,103919.668,1.039197,100000
2006-04-04,304.948,104579.52,1.039,104884.468,1.048845,100000
2006-04-05,304.948,105597.12,1.049,105902.068,1.059021,100000
2006-04-06,304.948,105911.04,1.059,106215.988,1.06216,100000
2006-04-07,304.948,105902.4,1.062,106207.348,1.062073,100000
2006-04-10,304.948,107319.36,1.062,107624.308,1.076243,100000
2006-04-11,304.948,107837.76,1.076,108142.708,1.081427,100000
2006-04-12,304.948,107238.72,1.081,107543.668,1.075437,100000
2006-04-13,304.948,105016.32,1.075,105321.268,1.053213,100000
2006-04-14,304.948,107386.56,1.053,107691.508,1.076915,100000
2006-04-17,304.948,107943.36,1.077,108248.308,1.082483,100000
2006-04-18,304.948,108602.88,1.082,108907.828,1.089078,100000
2006-04-19,304.948,109271.04,1.089,109575.988,1.09576,100000
2006-04-20,304.948,108900.48,1.096,109205.428,1.092054,100000
2006-04-21,304.948,110319.36,1.092,110624.308,1.106243,100000
2006-04-24,304.948,109699.2,1.106,110004.148,1.100041,100000
2006-04-25,304.948,109625.28,1.1,109930.228,1.099302,100000
2006-04-26,304.948,110950.08,1.099,111255.028,1.11255,100000
2006-04-27,304.948,110905.92,1.113,111210.868,1.112109,100000
2006-04-28,304.948,112545.6,1.112,112850.548,1.128505,100000
2006-05-08,304.948,116970.24,1.129,117275.188,1.172752,100000
2006-05-09,304.948,120154.56,1.173,120459.508,1.204595,100000
2006-05-10,304.948,121529.28,1.205,121834.228,1.218342,100000
2006-05-11,304.948,120483.84,1.218,120788.788,1.207888,100000
2006-05-12,304.948,124440.96,1.208,124745.908,1.247459,100000
2006-05-15,304.948,129807.36,1.247,130112.308,1.301123,100000
2006-05-16,304.948,127788.48,1.301,128093.428,1.280934,100000
2006-05-17,304.948,128209.92,1.281,128514.868,1.285149,100000
2006-05-18,304.948,127795.2,1.285,128100.148,1.281001,100000
2006-05-19,304.948,131145.6,1.281,131450.548,1.314505,100000
2006-05-22,304.948,131872.32,1.315,132177.268,1.321773,100000
2006-05-23,304.948,126494.4,1.322,126799.348,1.267993,100000
2006-05-24,304.948,125591.04,1.268,125895.988,1.25896,100000
2006-05-25,304.948,125539.2,1.259,125844.148,1.258441,100000
2006-05-26,304.948,127777.92,1.258,128082.868,1.280829,100000
2006-05-29,304.948,131163.84,1.281,131468.788,1.314688,100000
2006-05-30,304.948,132360.96,1.315,132665.908,1.326659,100000
2006-05-31,304.948,131083.2,1.327,131388.148,1.313881,100000
2006-06-01,304.948,134676.48,1.314,134981.428,1.349814,100000
2006-06-02,304.948,133451.52,1.35,133756.468,1.337565,100000
2006-06-05,304.948,134703.36,1.338,135008.308,1.350083,100000
2006-06-06,304.948,134317.44,1.35,134622.388,1.346224,100000
2006-06-07,126945.634,0.0,1.346,126945.634,1.269456,100000
2006-06-08,126945.634,0.0,1.269,126945.634,1.269456,100000
2006-06-09,126945.634,0.0,1.269,126945.634,1.269456,100000
2006-06-12,126945.634,0.0,1.269,126945.634,1.269456,100000
2006-06-13,126945.634,0.0,1.269,126945.634,1.269456,100000
2006-06-14,126945.634,0.0,1.269,126945.634,1.269456,100000
2006-06-15,126945.634,0.0,1.269,126945.634,1.269456,100000
2006-06-16,126945.634,0.0,1.269,126945.634,1.269456,100000
2006-06-19,126945.634,0.0,1.269,126945.634,1.269456,100000
2006-06-20,1052.32,125792.68,1.269,126845.0,1.26845,100000
2006-06-21,126303.858,0.0,1.268,126303.858,1.263039,100000
2006-06-22,126303.858,0.0,1.263,126303.858,1.263039,100000
2006-06-23,126303.858,0.0,1.263,126303.858,1.263039,100000
2006-06-26,769.791,125433.72,1.263,126203.511,1.262035,100000
2006-06-27,769.791,125478.8,1.262,126248.591,1.262486,100000
2006-06-28,769.791,125384.96,1.262,126154.751,1.261548,100000
2006-06-29,769.791,128351.04,1.262,129120.831,1.291208,100000
2006-06-30,769.791,128244.32,1.291,129014.111,1.290141,100000
2006-07-03,769.791,130670.36,1.29,131440.151,1.314402,100000
2006-07-04,769.791,129812.92,1.314,130582.711,1.305827,100000
2006-07-05,769.791,128156.92,1.306,128926.711,1.289267,100000
2006-07-06,769.791,130518.56,1.289,131288.351,1.312884,100000
2006-07-07,769.791,129759.56,1.313,130529.351,1.305294,100000
2006-07-10,769.791,129915.04,1.305,130684.831,1.306848,100000
2006-07-11,769.791,130509.36,1.307,131279.151,1.312792,100000
2006-07-12,769.791,130566.4,1.313,131336.191,1.313362,100000
2006-07-13,124510.999,0.0,1.313,124510.999,1.24511,100000
2006-07-14,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-17,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-18,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-19,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-20,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-21,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-24,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-25,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-26,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-27,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-28,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-07-31,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-01,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-02,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-03,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-04,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-07,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-08,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-09,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-10,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-11,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-14,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-15,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-16,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-17,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-18,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-21,124510.999,0.0,1.245,124510.999,1.24511,100000
2006-08-22,1026.371,123385.92,1.245,124412.291,1.244123,100000
2006-08-23,1026.371,123425.28,1.244,124451.651,1.244517,100000
2006-08-24,1026.371,124070.4,1.245,125096.771,1.250968,100000
2006-08-25,1026.371,124362.24,1.251,125388.611,1.253886,100000
2006-08-28,1026.371,127285.44,1.254,128311.811,1.283118,100000
2006-08-29,1026.371,127695.36,1.283,128721.731,1.287217,100000
2006-08-30,1026.371,128128.32,1.287,129154.691,1.291547,100000
2006-08-31,1026.371,128514.24,1.292,129540.611,1.295406,100000
2006-09-01,1026.371,126537.6,1.295,127563.971,1.27564,100000
2006-09-04,1026.371,128375.04,1.276,129401.411,1.294014,100000
2006-09-05,1026.371,128705.28,1.294,129731.651,1.297317,100000
2006-09-06,1026.371,129251.52,1.297,130277.891,1.302779,100000
2006-09-07,1026.371,127524.48,1.303,128550.851,1.285509,100000
2006-09-08,1026.371,127886.4,1.286,128912.771,1.289128,100000
2006-09-11,1026.371,128520.96,1.289,129547.331,1.295473,100000
2006-09-12,1026.371,129373.44,1.295,130399.811,1.303998,100000
2006-09-13,1026.371,128485.44,1.304,129511.811,1.295118,100000
2006-09-14,1026.371,128474.88,1.295,129501.251,1.295013,100000
2006-09-15,1026.371,130782.72,1.295,131809.091,1.318091,100000
2006-09-18,1026.371,132053.76,1.318,133080.131,1.330801,100000
2006-09-19,1026.371,132317.76,1.331,133344.131,1.333441,100000
2006-09-20,1026.371,132332.16,1.333,133358.531,1.333585,100000
2006-09-21,1026.371,133187.52,1.334,134213.891,1.342139,100000
2006-09-22,1026.371,131985.6,1.342,133011.971,1.33012,100000
2006-09-25,1026.371,131750.4,1.33,132776.771,1.327768,100000
2006-09-26,1026.371,130334.4,1.328,131360.771,1.313608,100000
2006-09-27,1026.371,131627.52,1.314,132653.891,1.326539,100000
2006-09-28,1026.371,133152.0,1.327,134178.371,1.341784,100000
2006-09-29,1026.371,134712.96,1.342,135739.331,1.357393,100000
2006-10-09,1026.371,137862.72,1.357,138889.091,1.388891,100000
2006-10-10,1026.371,137975.04,1.389,139001.411,1.390014,100000
2006-10-11,1026.371,137847.36,1.39,138873.731,1.388737,100000
2006-10-12,1026.371,136944.0,1.389,137970.371,1.379704,100000
2006-10-13,1026.371,137364.48,1.38,138390.851,1.383909,100000
2006-10-16,1026.371,136177.92,1.384,137204.291,1.372043,100000
2006-10-17,1026.371,135787.2,1.372,136813.571,1.368136,100000
2006-10-18,1026.371,138008.64,1.368,139035.011,1.39035,100000
2006-10-19,1026.371,138180.48,1.39,139206.851,1.392069,100000
2006-10-20,1026.371,138257.28,1.392,139283.651,1.392837,100000
2006-10-23,1026.371,135237.12,1.393,136263.491,1.362635,100000
2006-10-24,1026.371,138244.8,1.363,139271.171,1.392712,100000
2006-10-25,1026.371,138894.72,1.393,139921.091,1.399211,100000
2006-10-26,1026.371,139785.6,1.399,140811.971,1.40812,100000
2006-10-27,1026.371,138148.8,1.408,139175.171,1.391752,100000
2006-10-30,1026.371,138839.04,1.392,139865.411,1.398654,100000
2006-10-31,1026.371,140589.12,1.399,141615.491,1.416155,100000
2006-11-01,1026.371,142023.36,1.416,143049.731,1.430497,100000
2006-11-02,1026.371,142047.36,1.43,143073.731,1.430737,100000
2006-11-03,1026.371,142875.84,1.431,143902.211,1.439022,100000
2006-11-06,1026.371,144757.44,1.439,145783.811,1.457838,100000
2006-11-07,1026.371,145545.6,1.458,146571.971,1.46572,100000
2006-11-08,1026.371,143824.32,1.466,144850.691,1.448507,100000
2006-11-09,1026.371,146372.16,1.449,147398.531,1.473985,100000
2006-11-10,1026.371,144389.76,1.474,145416.131,1.454161,100000
2006-11-13,1026.371,141674.88,1.454,142701.251,1.427013,100000
2006-11-14,1026.371,143402.88,1.427,144429.251,1.444293,100000
2006-11-15,1026.371,147336.96,1.444,148363.331,1.483633,100000
2006-11-16,1026.371,147195.84,1.484,148222.211,1.482222,100000
2006-11-17,1026.371,149959.68,1.482,150986.051,1.509861,100000
2006-11-20,1026.371,152943.36,1.51,153969.731,1.539697,100000
2006-11-21,1026.371,154776.0,1.54,155802.371,1.558024,100000
2006-11-22,1026.371,155906.88,1.558,156933.251,1.569333,100000
2006-11-23,1026.371,156951.36,1.569,157977.731,1.579777,100000
2006-11-24,1026.371,157111.68,1.58,158138.051,1.581381,100000
2006-11-27,1026.371,158572.8,1.581,159599.171,1.595992,100000
2006-11-28,1026.371,157824.96,1.596,158851.331,1.588513,100000
2006-11-29,1026.371,160045.44,1.589,161071.811,1.610718,100000
2006-11-30,1026.371,164578.56,1.611,165604.931,1.656049,100000
2006-12-01,1026.371,166005.12,1.656,167031.491,1.670315,100000
2006-12-04,1026.371,170951.04,1.67,171977.411,1.719774,100000
2006-12-05,1026.371,172246.08,1.72,173272.451,1.732725,100000
2006-12-06,1026.371,170823.36,1.733,171849.731,1.718497,100000
2006-12-07,1026.371,170468.16,1.718,171494.531,1.714945,100000
2006-12-08,1026.371,164311.68,1.715,165338.051,1.653381,100000
2006-12-11,1026.371,171832.32,1.653,172858.691,1.728587,100000
2006-12-12,1026.371,173067.84,1.729,174094.211,1.740942,100000
2006-12-13,1026.371,173170.56,1.741,174196.931,1.741969,100000
2006-12-14,1026.371,176269.44,1.742,177295.811,1.772958,100000
2006-12-15,1026.371,179293.44,1.773,180319.811,1.803198,100000
2006-12-18,1026.371,183946.56,1.803,184972.931,1.849729,100000
2006-12-19,1026.371,184458.24,1.85,185484.611,1.854846,100000
2006-12-20,1026.371,185908.8,1.855,186935.171,1.869352,100000
2006-12-21,1026.371,183262.08,1.869,184288.451,1.842885,100000
2006-12-22,1026.371,181981.44,1.843,183007.811,1.830078,100000
2006-12-25,1026.371,186153.6,1.83,187179.971,1.8718,100000
2006-12-26,1026.371,186071.04,1.872,187097.411,1.870974,100000
2006-12-27,1026.371,190356.48,1.871,191382.851,1.913829,100000
2006-12-28,1026.371,190073.28,1.914,191099.651,1.910997,100000
2006-12-29,1026.371,195940.8,1.911,196967.171,1.969672,100000
2007-01-04,1026.371,198440.64,1.97,199467.011,1.99467,100000
2007-01-05,1026.371,198996.48,1.995,200022.851,2.000229,100000
2007-01-08,1026.371,204629.76,2.0,205656.131,2.056561,100000
2007-01-09,1026.371,211208.64,2.057,212235.011,2.12235,100000
2007-01-10,1026.371,216573.12,2.122,217599.491,2.175995,100000
2007-01-11,1026.371,214236.48,2.176,215262.851,2.152629,100000
2007-01-12,1026.371,208680.0,2.153,209706.371,2.097064,100000
2007-01-15,1026.371,219584.64,2.097,220611.011,2.20611,100000
2007-01-16,1026.371,225971.52,2.206,226997.891,2.269979,100000
2007-01-17,1026.371,221657.28,2.27,222683.651,2.226837,100000
2007-01-18,1026.371,222440.64,2.227,223467.011,2.23467,100000
2007-01-19,1026.371,230024.64,2.235,231051.011,2.31051,100000
2007-01-22,1026.371,239165.76,2.311,240192.131,2.401921,100000
2007-01-23,1026.371,240780.48,2.402,241806.851,2.418069,100000
2007-01-24,1026.371,243497.28,2.418,244523.651,2.445237,100000
2007-01-25,1026.371,235471.68,2.445,236498.051,2.364981,100000
2007-01-26,1026.371,241240.32,2.365,242266.691,2.422667,100000
2007-01-29,1026.371,247384.32,2.423,248410.691,2.484107,100000
2007-01-30,1026.371,244980.48,2.484,246006.851,2.460069,100000
2007-01-31,1026.371,228992.64,2.46,230019.011,2.30019,100000
2007-02-01,1026.371,229936.32,2.3,230962.691,2.309627,100000
2007-02-02,221457.884,0.0,2.31,221457.884,2.214579,100000
2007-02-05,221457.884,0.0,2.215,221457.884,2.214579,100000
2007-02-06,221457.884,0.0,2.215,221457.884,2.214579,100000
2007-02-07,221457.884,0.0,2.215,221457.884,2.214579,100000
2007-02-08,1917.792,219364.6,2.215,221282.392,2.212824,100000
2007-02-09,219893.023,0.0,2.213,219893.023,2.19893,100000
2007-02-12,1003.731,218714.32,2.199,219718.051,2.197181,100000
2007-02-13,1003.731,221991.44,2.197,222995.171,2.229952,100000
2007-02-14,1003.731,227774.8,2.23,228778.531,2.287785,100000
2007-02-15,1003.731,234839.44,2.288,235843.171,2.358432,100000
2007-02-16,1003.731,235553.12,2.358,236556.851,2.365569,100000
2007-02-26,1003.731,238275.84,2.366,239279.571,2.392796,100000
2007-02-27,217089.844,0.0,2.393,217089.844,2.170898,100000
2007-02-28,628.363,216288.45,2.171,216916.813,2.169168,100000
2007-03-01,210711.062,0.0,2.169,210711.062,2.107111,100000
2007-03-02,2319.893,208224.59,2.107,210544.483,2.105445,100000
2007-03-05,2319.893,205475.63,2.105,207795.523,2.077955,100000
2007-03-06,2319.893,209184.07,2.078,211503.963,2.11504,100000
2007-03-07,2319.893,214923.52,2.115,217243.413,2.172434,100000
2007-03-08,2319.893,218093.29,2.172,220413.183,2.204132,100000
2007-03-09,2319.893,216745.37,2.204,219065.263,2.190653,100000
2007-03-12,2319.893,217142.11,2.191,219462.003,2.19462,100000
2007-03-13,2319.893,219134.11,2.195,221454.003,2.21454,100000
2007-03-14,2319.893,215580.88,2.215,217900.773,2.179008,100000
2007-03-15,2319.893,219580.65,2.179,221900.543,2.219005,100000
2007-03-16,2319.893,216151.09,2.219,218470.983,2.18471,100000
2007-03-19,2319.893,220731.03,2.185,223050.923,2.230509,100000
2007-03-20,2319.893,221839.91,2.231,224159.803,2.241598,100000
2007-03-21,2319.893,224315.8,2.242,226635.693,2.266357,100000
2007-03-22,2319.893,225039.56,2.266,227359.453,2.273595,100000
2007-03-23,2319.893,225450.41,2.274,227770.303,2.277703,100000
2007-03-26,2319.893,229414.49,2.278,231734.383,2.317344,100000
2007-03-27,2319.893,231073.66,2.317,233393.553,2.333936,100000
2007-03-28,2319.893,232204.95,2.334,234524.843,2.345248,100000
2007-03-29,2319.893,231013.9,2.345,233333.793,2.333338,100000
2007-03-30,2319.893,230887.74,2.333,233207.633,2.332076,100000
2007-04-02,2319.893,236559.13,2.332,238879.023,2.38879,100000
2007-04-03,2319.893,239713.13,2.389,242033.023,2.42033,100000
2007-04-04,2319.893,241681.06,2.42,244000.953,2.44001,100000
2007-04-05,2319.893,244438.32,2.44,246758.213,2.467582,100000
2007-04-06,2319.893,246676.83,2.468,248996.723,2.489967,100000
2007-04-09,2319.893,252168.11,2.49,254488.003,2.54488,100000
2007-04-10,2319.893,255770.31,2.545,258090.203,2.580902,100000
2007-04-11,2319.893,259069.56,2.581,261389.453,2.613895,100000
2007-04-12,2319.893,263644.52,2.614,265964.413,2.659644,100000
2007-04-13,2319.893,263046.09,2.66,265365.983,2.65366,100000
2007-04-16,2319.893,270248.0,2.654,272567.893,2.725679,100000
2007-04-17,2319.893,272538.8,2.726,274858.693,2.748587,100000
