date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2006-12-18,1332.15,1916.11,139876.03,000300.XSHG,73,沪深300
2006-12-19,1332.15,1921.44,140265.12,000300.XSHG,73,沪深300
2006-12-20,1332.15,1936.55,141368.15,000300.XSHG,73,沪深300
2006-12-21,1332.15,1908.98,139355.54,000300.XSHG,73,沪深300
2006-12-22,1332.15,1895.64,138381.72,000300.XSHG,73,沪深300
2006-12-25,1332.15,1939.1,141554.3,000300.XSHG,73,沪深300
2006-12-26,1332.15,1938.24,141491.52,000300.XSHG,73,沪深300
2006-12-27,1332.15,1982.88,144750.24,000300.XSHG,73,沪深300
2006-12-28,1332.15,1979.93,144534.89,000300.XSHG,73,沪深300
2006-12-29,1332.15,2041.05,148996.65,000300.XSHG,73,沪深300
2007-01-04,1332.15,2067.09,150897.57,000300.XSHG,73,沪深300
2007-01-05,1332.15,2072.88,151320.24,000300.XSHG,73,沪深300
2007-01-08,1332.15,2131.56,155603.88,000300.XSHG,73,沪深300
2007-01-09,1332.15,2200.09,160606.57,000300.XSHG,73,沪深300
2007-01-10,1332.15,2255.97,164685.81,000300.XSHG,73,沪深300
2007-01-11,1332.15,2231.63,162908.99,000300.XSHG,73,沪深300
2007-01-12,1332.15,2173.75,158683.75,000300.XSHG,73,沪深300
2007-01-15,1332.15,2287.34,166975.82,000300.XSHG,73,沪深300
2007-01-16,1332.15,2353.87,171832.51,000300.XSHG,73,沪深300
2007-01-17,1332.15,2308.93,168551.89,000300.XSHG,73,沪深300
2007-01-18,1332.15,2317.09,169147.57,000300.XSHG,73,沪深300
2007-01-19,1332.15,2396.09,174914.57,000300.XSHG,73,沪深300
2007-01-22,1332.15,2491.31,181865.63,000300.XSHG,73,沪深300
2007-01-23,1332.15,2508.13,183093.49,000300.XSHG,73,沪深300
2007-01-24,1332.15,2536.43,185159.39,000300.XSHG,73,沪深300
2007-01-25,1332.15,2452.83,179056.59,000300.XSHG,73,沪深300
2007-01-26,1332.15,2512.92,183443.16,000300.XSHG,73,沪深300
2007-01-29,1332.15,2576.92,188115.16,000300.XSHG,73,沪深300
2007-01-30,1332.15,2551.88,186287.24,000300.XSHG,73,沪深300
2007-01-31,1332.15,2385.34,174129.82,000300.XSHG,73,沪深300
2007-02-01,1332.15,2395.17,174847.41,000300.XSHG,73,沪深300
2007-02-02,1332.15,2298.0,167754.0,000300.XSHG,73,沪深300
2007-02-05,1332.15,2271.8,165841.4,000300.XSHG,73,沪深300
2007-02-06,1332.15,2316.04,169070.92,000300.XSHG,73,沪深300
