date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2006-01-04,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-05,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-06,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-09,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-10,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-11,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-12,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-13,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-16,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-17,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-18,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-19,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-20,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-23,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-24,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-25,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-06,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-07,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-08,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-09,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-10,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-13,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-14,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-15,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-16,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-17,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-20,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-21,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-22,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-23,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-24,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-27,100000.0,0.0,1.0,100000.0,1.0,100000
2006-02-28,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-01,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-02,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-03,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-06,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-07,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-08,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-09,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-10,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-13,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-14,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-15,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-16,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-17,100000.0,0.0,1.0,100000.0,1.0,100000
2006-03-20,304.948,99615.36,1.0,99920.308,0.999203,100000
2006-03-21,304.948,99912.96,0.999,100217.908,1.002179,100000
2006-03-22,304.948,100576.32,1.002,100881.268,1.008813,100000
2006-03-23,304.948,100659.84,1.009,100964.788,1.009648,100000
2006-03-24,304.948,100089.6,1.01,100394.548,1.003945,100000
2006-03-27,304.948,100395.84,1.004,100700.788,1.007008,100000
2006-03-28,304.948,101374.08,1.007,101679.028,1.01679,100000
2006-03-29,304.948,102267.84,1.017,102572.788,1.025728,100000
2006-03-30,304.948,101340.48,1.026,101645.428,1.016454,100000
2006-03-31,304.948,101864.64,1.016,102169.588,1.021696,100000
2006-04-03,304.948,103614.72,1.022,103919.668,1.039197,100000
2006-04-04,304.948,104579.52,1.039,104884.468,1.048845,100000
2006-04-05,304.948,105597.12,1.049,105902.068,1.059021,100000
2006-04-06,304.948,105911.04,1.059,106215.988,1.06216,100000
2006-04-07,304.948,105902.4,1.062,106207.348,1.062073,100000
2006-04-10,304.948,107319.36,1.062,107624.308,1.076243,100000
2006-04-11,304.948,107837.76,1.076,108142.708,1.081427,100000
2006-04-12,304.948,107238.72,1.081,107543.668,1.075437,100000
2006-04-13,304.948,105016.32,1.075,105321.268,1.053213,100000
2006-04-14,304.948,107386.56,1.053,107691.508,1.076915,100000
2006-04-17,304.948,107943.36,1.077,108248.308,1.082483,100000
2006-04-18,304.948,108602.88,1.082,108907.828,1.089078,100000
2006-04-19,304.948,109271.04,1.089,109575.988,1.09576,100000
2006-04-20,304.948,108900.48,1.096,109205.428,1.092054,100000
2006-04-21,304.948,110319.36,1.092,110624.308,1.106243,100000
2006-04-24,304.948,109699.2,1.106,110004.148,1.100041,100000
2006-04-25,304.948,109625.28,1.1,109930.228,1.099302,100000
2006-04-26,304.948,110950.08,1.099,111255.028,1.11255,100000
2006-04-27,304.948,110905.92,1.113,111210.868,1.112109,100000
2006-04-28,304.948,112545.6,1.112,112850.548,1.128505,100000
2006-05-08,304.948,116970.24,1.129,117275.188,1.172752,100000
2006-05-09,304.948,120154.56,1.173,120459.508,1.204595,100000
2006-05-10,304.948,121529.28,1.205,121834.228,1.218342,100000
2006-05-11,304.948,120483.84,1.218,120788.788,1.207888,100000
2006-05-12,304.948,124440.96,1.208,124745.908,1.247459,100000
2006-05-15,304.948,129807.36,1.247,130112.308,1.301123,100000
2006-05-16,304.948,127788.48,1.301,128093.428,1.280934,100000
2006-05-17,304.948,128209.92,1.281,128514.868,1.285149,100000
2006-05-18,304.948,127795.2,1.285,128100.148,1.281001,100000
2006-05-19,304.948,131145.6,1.281,131450.548,1.314505,100000
2006-05-22,304.948,131872.32,1.315,132177.268,1.321773,100000
2006-05-23,304.948,126494.4,1.322,126799.348,1.267993,100000
2006-05-24,304.948,125591.04,1.268,125895.988,1.25896,100000
2006-05-25,304.948,125539.2,1.259,125844.148,1.258441,100000
2006-05-26,304.948,127777.92,1.258,128082.868,1.280829,100000
2006-05-29,304.948,131163.84,1.281,131468.788,1.314688,100000
2006-05-30,304.948,132360.96,1.315,132665.908,1.326659,100000
2006-05-31,304.948,131083.2,1.327,131388.148,1.313881,100000
2006-06-01,304.948,134676.48,1.314,134981.428,1.349814,100000
2006-06-02,304.948,133451.52,1.35,133756.468,1.337565,100000
2006-06-05,304.948,134703.36,1.338,135008.308,1.350083,100000
2006-06-06,304.948,134317.44,1.35,134622.388,1.346224,100000
2006-06-07,304.948,126742.08,1.346,127047.028,1.27047,100000
2006-06-08,304.948,127294.08,1.27,127599.028,1.27599,100000
2006-06-09,124447.794,0.0,1.276,124447.794,1.244478,100000
2006-06-12,124447.794,0.0,1.244,124447.794,1.244478,100000
2006-06-13,124447.794,0.0,1.244,124447.794,1.244478,100000
2006-06-14,124447.794,0.0,1.244,124447.794,1.244478,100000
2006-06-15,124447.794,0.0,1.244,124447.794,1.244478,100000
2006-06-16,124447.794,0.0,1.244,124447.794,1.244478,100000
2006-06-19,203.708,124144.77,1.244,124348.478,1.243485,100000
2006-06-20,203.708,124454.46,1.243,124658.168,1.246582,100000
2006-06-21,124122.783,0.0,1.247,124122.783,1.241228,100000
2006-06-22,124122.783,0.0,1.241,124122.783,1.241228,100000
2006-06-23,794.8,123229.4,1.241,124024.2,1.240242,100000
2006-06-26,794.8,125433.72,1.24,126228.52,1.262285,100000
2006-06-27,794.8,125478.8,1.262,126273.6,1.262736,100000
2006-06-28,794.8,125384.96,1.263,126179.76,1.261798,100000
2006-06-29,794.8,128351.04,1.262,129145.84,1.291458,100000
2006-06-30,794.8,128244.32,1.291,129039.12,1.290391,100000
2006-07-03,794.8,130670.36,1.29,131465.16,1.314652,100000
2006-07-04,794.8,129812.92,1.315,130607.72,1.306077,100000
2006-07-05,794.8,128156.92,1.306,128951.72,1.289517,100000
2006-07-06,794.8,130518.56,1.29,131313.36,1.313134,100000
2006-07-07,794.8,129759.56,1.313,130554.36,1.305544,100000
2006-07-10,794.8,129915.04,1.306,130709.84,1.307098,100000
2006-07-11,794.8,130509.36,1.307,131304.16,1.313042,100000
2006-07-12,794.8,130566.4,1.313,131361.2,1.313612,100000
2006-07-13,124536.008,0.0,1.314,124536.008,1.24536,100000
2006-07-14,124536.008,0.0,1.245,124536.008,1.24536,100000
2006-07-17,934.706,123502.5,1.245,124437.206,1.244372,100000
2006-07-18,934.706,123607.8,1.244,124542.506,1.245425,100000
2006-07-19,121136.068,0.0,1.245,121136.068,1.211361,100000
2006-07-20,121136.068,0.0,1.211,121136.068,1.211361,100000
2006-07-21,121136.068,0.0,1.211,121136.068,1.211361,100000
2006-07-24,121136.068,0.0,1.211,121136.068,1.211361,100000
2006-07-25,112.366,120926.96,1.211,121039.326,1.210393,100000
2006-07-26,112.366,120674.4,1.21,120786.766,1.207868,100000
2006-07-27,119304.456,0.0,1.208,119304.456,1.193045,100000
2006-07-28,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-07-31,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-01,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-02,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-03,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-04,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-07,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-08,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-09,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-10,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-11,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-14,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-15,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-16,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-17,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-18,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-21,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-22,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-23,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-24,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-25,119304.456,0.0,1.193,119304.456,1.193045,100000
2006-08-28,1205.843,118004.21,1.193,119210.053,1.192101,100000
2006-08-29,1205.843,118384.24,1.192,119590.083,1.195901,100000
2006-08-30,1205.843,118785.63,1.196,119991.473,1.199915,100000
2006-08-31,1205.843,119143.41,1.2,120349.253,1.203493,100000
2006-09-01,1205.843,117310.9,1.203,118516.743,1.185167,100000
2006-09-04,1205.843,119014.36,1.185,120220.203,1.202202,100000
2006-09-05,1205.843,119320.52,1.202,120526.363,1.205264,100000
2006-09-06,1205.843,119826.93,1.205,121032.773,1.210328,100000
2006-09-07,1205.843,118225.82,1.21,119431.663,1.194317,100000
2006-09-08,1205.843,118561.35,1.194,119767.193,1.197672,100000
2006-09-11,1205.843,119149.64,1.198,120355.483,1.203555,100000
2006-09-12,1205.843,119939.96,1.204,121145.803,1.211458,100000
2006-09-13,1205.843,119116.71,1.211,120322.553,1.203226,100000
2006-09-14,1205.843,119106.92,1.203,120312.763,1.203128,100000
2006-09-15,1205.843,121246.48,1.203,122452.323,1.224523,100000
2006-09-18,1205.843,122424.84,1.225,123630.683,1.236307,100000
2006-09-19,1205.843,122669.59,1.236,123875.433,1.238754,100000
2006-09-20,1205.843,122682.94,1.239,123888.783,1.238888,100000
2006-09-21,1205.843,123475.93,1.239,124681.773,1.246818,100000
2006-09-22,1205.843,122361.65,1.247,123567.493,1.235675,100000
2006-09-25,1205.843,122143.6,1.236,123349.443,1.233494,100000
2006-09-26,1205.843,120830.85,1.233,122036.693,1.220367,100000
2006-09-27,1205.843,122029.68,1.22,123235.523,1.232355,100000
2006-09-28,1205.843,123443.0,1.232,124648.843,1.246488,100000
2006-09-29,1205.843,124890.14,1.246,126095.983,1.26096,100000
2006-10-09,1205.843,127810.23,1.261,129016.073,1.290161,100000
2006-10-10,1205.843,127914.36,1.29,129120.203,1.291202,100000
2006-10-11,1205.843,127795.99,1.291,129001.833,1.290018,100000
2006-10-12,1205.843,126958.5,1.29,128164.343,1.281643,100000
2006-10-13,1205.843,127348.32,1.282,128554.163,1.285542,100000
2006-10-16,1205.843,126248.28,1.286,127454.123,1.274541,100000
2006-10-17,1205.843,125886.05,1.275,127091.893,1.270919,100000
2006-10-18,1205.843,127945.51,1.271,129151.353,1.291514,100000
2006-10-19,1205.843,128104.82,1.292,129310.663,1.293107,100000
2006-10-20,1205.843,128176.02,1.293,129381.863,1.293819,100000
2006-10-23,1205.843,125376.08,1.294,126581.923,1.265819,100000
2006-10-24,1205.843,128164.45,1.266,129370.293,1.293703,100000
2006-10-25,1205.843,128766.98,1.294,129972.823,1.299728,100000
2006-10-26,1205.843,129592.9,1.3,130798.743,1.307987,100000
2006-10-27,1205.843,128075.45,1.308,129281.293,1.292813,100000
2006-10-30,1205.843,128715.36,1.293,129921.203,1.299212,100000
2006-10-31,1205.843,130337.83,1.299,131543.673,1.315437,100000
2006-11-01,1205.843,131667.49,1.315,132873.333,1.328733,100000
2006-11-02,1205.843,131689.74,1.329,132895.583,1.328956,100000
2006-11-03,1205.843,132457.81,1.329,133663.653,1.336637,100000
2006-11-06,1205.843,134202.21,1.337,135408.053,1.354081,100000
2006-11-07,1205.843,134932.9,1.354,136138.743,1.361387,100000
2006-11-08,1205.843,133337.13,1.361,134542.973,1.34543,100000
2006-11-09,1205.843,135699.19,1.345,136905.033,1.36905,100000
2006-11-10,1205.843,133861.34,1.369,135067.183,1.350672,100000
2006-11-13,1205.843,131344.42,1.351,132550.263,1.325503,100000
2006-11-14,1205.843,132946.42,1.326,134152.263,1.341523,100000
2006-11-15,1205.843,136593.64,1.342,137799.483,1.377995,100000
2006-11-16,1205.843,136462.81,1.378,137668.653,1.376687,100000
2006-11-17,1205.843,139025.12,1.377,140230.963,1.40231,100000
2006-11-20,1205.843,141791.24,1.402,142997.083,1.429971,100000
2006-11-21,1205.843,143490.25,1.43,144696.093,1.446961,100000
2006-11-22,1205.843,144538.67,1.447,145744.513,1.457445,100000
2006-11-23,1205.843,145506.99,1.457,146712.833,1.467128,100000
2006-11-24,1205.843,145655.62,1.467,146861.463,1.468615,100000
2006-11-27,1205.843,147010.2,1.469,148216.043,1.48216,100000
2006-11-28,1205.843,146316.89,1.482,147522.733,1.475227,100000
2006-11-29,1205.843,148375.46,1.475,149581.303,1.495813,100000
2006-11-30,1205.843,152578.04,1.496,153783.883,1.537839,100000
2006-12-01,1205.843,153900.58,1.538,155106.423,1.551064,100000
2006-12-04,1205.843,158485.86,1.551,159691.703,1.596917,100000
2006-12-05,1205.843,159686.47,1.597,160892.313,1.608923,100000
2006-12-06,1205.843,158367.49,1.609,159573.333,1.595733,100000
2006-12-07,1205.843,158038.19,1.596,159244.033,1.59244,100000
2006-12-08,1205.843,152330.62,1.592,153536.463,1.535365,100000
2006-12-11,1205.843,159302.88,1.535,160508.723,1.605087,100000
2006-12-12,1205.843,160448.31,1.605,161654.153,1.616542,100000
2006-12-13,1205.843,160543.54,1.617,161749.383,1.617494,100000
2006-12-14,1205.843,163416.46,1.617,164622.303,1.646223,100000
2006-12-15,1205.843,166219.96,1.646,167425.803,1.674258,100000
2006-12-18,1205.843,170533.79,1.674,171739.633,1.717396,100000
2006-12-19,1205.843,171008.16,1.717,172214.003,1.72214,100000
2006-12-20,1205.843,172352.95,1.722,173558.793,1.735588,100000
2006-12-21,1205.843,169899.22,1.736,171105.063,1.711051,100000
2006-12-22,1205.843,168711.96,1.711,169917.803,1.699178,100000
2006-12-25,1205.843,172579.9,1.699,173785.743,1.737857,100000
2006-12-26,1205.843,172503.36,1.738,173709.203,1.737092,100000
2006-12-27,1205.843,176476.32,1.737,177682.163,1.776822,100000
2006-12-28,1205.843,176213.77,1.777,177419.613,1.774196,100000
2006-12-29,1205.843,181653.45,1.774,182859.293,1.828593,100000
2007-01-04,1205.843,183971.01,1.829,185176.853,1.851769,100000
2007-01-05,1205.843,184486.32,1.852,185692.163,1.856922,100000
2007-01-08,1205.843,189708.84,1.857,190914.683,1.909147,100000
2007-01-09,1205.843,195808.01,1.909,197013.853,1.970139,100000
2007-01-10,1205.843,200781.33,1.97,201987.173,2.019872,100000
2007-01-11,1205.843,198615.07,2.02,199820.913,1.998209,100000
2007-01-12,1205.843,193463.75,1.998,194669.593,1.946696,100000
2007-01-15,1205.843,203573.26,1.947,204779.103,2.047791,100000
2007-01-16,1205.843,209494.43,2.048,210700.273,2.107003,100000
2007-01-17,1205.843,205494.77,2.107,206700.613,2.067006,100000
2007-01-18,1205.843,206221.01,2.067,207426.853,2.074269,100000
2007-01-19,1205.843,213252.01,2.074,214457.853,2.144579,100000
2007-01-22,1205.843,221726.59,2.145,222932.433,2.229324,100000
2007-01-23,1205.843,223223.57,2.229,224429.413,2.244294,100000
2007-01-24,1205.843,225742.27,2.244,226948.113,2.269481,100000
2007-01-25,1205.843,218301.87,2.269,219507.713,2.195077,100000
2007-01-26,1205.843,223649.88,2.195,224855.723,2.248557,100000
2007-01-29,1205.843,229345.88,2.249,230551.723,2.305517,100000
2007-01-30,1205.843,227117.32,2.306,228323.163,2.283232,100000
2007-01-31,1205.843,212295.26,2.283,213501.103,2.135011,100000
2007-02-01,1205.843,213170.13,2.135,214375.973,2.14376,100000
2007-02-02,1205.843,204522.0,2.144,205727.843,2.057278,100000
2007-02-05,1205.843,202190.2,2.057,203396.043,2.03396,100000
2007-02-06,1205.843,206127.56,2.034,207333.403,2.073334,100000
2007-02-07,1205.843,210911.31,2.073,212117.153,2.121172,100000
2007-02-08,1205.843,214543.4,2.121,215749.243,2.157492,100000
2007-02-09,1205.843,213355.25,2.157,214561.093,2.145611,100000
2007-02-12,1205.843,221199.71,2.146,222405.553,2.224056,100000
2007-02-13,1205.843,224514.07,2.224,225719.913,2.257199,100000
2007-02-14,1205.843,230363.15,2.257,231568.993,2.31569,100000
2007-02-15,1205.843,237508.07,2.316,238713.913,2.387139,100000
2007-02-16,1205.843,238229.86,2.387,239435.703,2.394357,100000
2007-02-26,1205.843,240983.52,2.394,242189.363,2.421894,100000
2007-02-27,1205.843,218716.61,2.422,219922.453,2.199225,100000
2007-02-28,1205.843,226466.73,2.199,227672.573,2.276726,100000
2007-03-01,1205.843,220145.06,2.277,221350.903,2.213509,100000
2007-03-02,1205.843,223276.97,2.214,224482.813,2.244828,100000
2007-03-05,1205.843,220329.29,2.245,221535.133,2.215351,100000
2007-03-06,1205.843,224305.81,2.215,225511.653,2.255117,100000
2007-03-07,1205.843,230460.16,2.255,231666.003,2.31666,100000
2007-03-08,1205.843,233859.07,2.317,235064.913,2.350649,100000
2007-03-09,1205.843,232413.71,2.351,233619.553,2.336196,100000
2007-03-12,1205.843,232839.13,2.336,234044.973,2.34045,100000
2007-03-13,1205.843,234975.13,2.34,236180.973,2.36181,100000
2007-03-14,1205.843,231165.04,2.362,232370.883,2.323709,100000
2007-03-15,1205.843,235453.95,2.324,236659.793,2.366598,100000
2007-03-16,1205.843,231776.47,2.367,232982.313,2.329823,100000
2007-03-19,1205.843,236687.49,2.33,237893.333,2.378933,100000
2007-03-20,1205.843,237876.53,2.379,239082.373,2.390824,100000
2007-03-21,1205.843,240531.4,2.391,241737.243,2.417372,100000
2007-03-22,1205.843,241307.48,2.417,242513.323,2.425133,100000
2007-03-23,1205.843,241748.03,2.425,242953.873,2.429539,100000
2007-03-26,1205.843,245998.67,2.43,247204.513,2.472045,100000
2007-03-27,1205.843,247777.78,2.472,248983.623,2.489836,100000
2007-03-28,1205.843,248990.85,2.49,250196.693,2.501967,100000
2007-03-29,1205.843,247713.7,2.502,248919.543,2.489195,100000
2007-03-30,1205.843,247578.42,2.489,248784.263,2.487843,100000
2007-04-02,1205.843,253659.79,2.488,254865.633,2.548656,100000
2007-04-03,1205.843,257041.79,2.549,258247.633,2.582476,100000
2007-04-04,1205.843,259151.98,2.582,260357.823,2.603578,100000
2007-04-05,1205.843,262108.56,2.604,263314.403,2.633144,100000
2007-04-06,1205.843,264508.89,2.633,265714.733,2.657147,100000
2007-04-09,1205.843,270397.13,2.657,271602.973,2.71603,100000
2007-04-10,1205.843,274259.73,2.716,275465.573,2.754656,100000
2007-04-11,1205.843,277797.48,2.755,279003.323,2.790033,100000
2007-04-12,1205.843,282703.16,2.79,283909.003,2.83909,100000
2007-04-13,1205.843,282061.47,2.839,283267.313,2.832673,100000
2007-04-16,1205.843,289784.0,2.833,290989.843,2.909898,100000
2007-04-17,1205.843,292240.4,2.91,293446.243,2.934462,100000
