date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2006-01-04,941.43,941.43,99791.58,000300.XSHG,106,沪深300
2006-01-05,941.43,959.13,101667.78,000300.XSHG,106,沪深300
2006-01-06,941.43,970.03,102823.18,000300.XSHG,106,沪深300
2006-01-09,941.43,975.25,103376.5,000300.XSHG,106,沪深300
2006-01-10,941.43,978.15,103683.9,000300.XSHG,106,沪深300
2006-01-11,941.43,973.48,103188.88,000300.XSHG,106,沪深300
2006-01-12,941.43,983.72,104274.32,000300.XSHG,106,沪深300
2006-01-13,941.43,978.81,103753.86,000300.XSHG,106,沪深300
2006-01-16,941.43,961.44,0.0,000300.XSHG,0,沪深300
2006-01-18,983.62,983.62,101312.86,000300.XSHG,103,沪深300
2006-01-19,983.62,991.22,102095.66,000300.XSHG,103,沪深300
2006-01-20,983.62,993.34,102314.02,000300.XSHG,103,沪深300
2006-01-23,983.62,996.16,102604.48,000300.XSHG,103,沪深300
2006-01-24,983.62,999.09,102906.27,000300.XSHG,103,沪深300
2006-01-25,983.62,1009.6,103988.8,000300.XSHG,103,沪深300
2006-02-06,983.62,1033.23,106422.69,000300.XSHG,103,沪深300
2006-02-07,983.62,1029.94,106083.82,000300.XSHG,103,沪深300
2006-02-08,983.62,1033.07,106406.21,000300.XSHG,103,沪深300
2006-02-09,983.62,1019.6,0.0,000300.XSHG,0,沪深300
2006-02-10,1032.34,1032.34,105298.68,000300.XSHG,102,沪深300
2006-02-13,1032.34,1031.61,105224.22,000300.XSHG,102,沪深300
2006-02-14,1032.34,1038.53,105930.06,000300.XSHG,102,沪深300
2006-02-15,1032.34,1041.66,106249.32,000300.XSHG,102,沪深300
2006-02-16,1032.34,1020.12,0.0,000300.XSHG,0,沪深300
2006-02-21,1038.82,1038.82,103882.0,000300.XSHG,100,沪深300
2006-02-22,1038.82,1037.88,103788.0,000300.XSHG,100,沪深300
2006-02-23,1038.82,1041.37,104137.0,000300.XSHG,100,沪深300
