date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2007-11-23,4856.16,4856.16,97123.2,000300.XSHG,20,沪深300
2007-11-26,4856.16,4800.08,96001.6,000300.XSHG,20,沪深300
2007-11-27,4856.16,4711.15,0.0,000300.XSHG,0,沪深300
2007-11-29,4842.07,4842.07,96841.4,000300.XSHG,20,沪深300
2007-11-30,4842.07,4737.41,0.0,000300.XSHG,0,沪深300
2007-12-05,4965.95,4965.95,94353.05,000300.XSHG,19,沪深300
2007-12-06,4965.95,4971.06,94450.14,000300.XSHG,19,沪深300
2007-12-07,4965.95,5041.35,95785.65,000300.XSHG,19,沪深300
2007-12-10,4965.95,5133.56,97537.64,000300.XSHG,19,沪深300
2007-12-11,4965.95,5140.0,97660.0,000300.XSHG,19,沪深300
2007-12-12,4965.95,5077.39,96470.41,000300.XSHG,19,沪深300
2007-12-13,4965.95,4884.3,0.0,000300.XSHG,0,沪深300
2007-12-14,4977.65,4977.65,89597.7,000300.XSHG,18,沪深300
2007-12-17,4977.65,4857.29,0.0,000300.XSHG,0,沪深300
2007-12-19,4946.29,4946.29,89033.22,000300.XSHG,18,沪深300
2007-12-20,4946.29,5037.19,90669.42,000300.XSHG,18,沪深300
2007-12-21,4946.29,5101.85,91833.3,000300.XSHG,18,沪深300
2007-12-24,4946.29,5207.13,93728.34,000300.XSHG,18,沪深300
2007-12-25,4946.29,5216.81,93902.58,000300.XSHG,18,沪深300
2007-12-26,4946.29,5265.03,94770.54,000300.XSHG,18,沪深300
2007-12-27,4946.29,5367.53,96615.54,000300.XSHG,18,沪深300
2007-12-28,4946.29,5338.27,96088.86,000300.XSHG,18,沪深300
2008-01-02,4946.29,5385.1,96931.8,000300.XSHG,18,沪深300
2008-01-03,4946.29,5422.03,97596.54,000300.XSHG,18,沪深300
2008-01-04,4946.29,5483.65,98705.7,000300.XSHG,18,沪深300
2008-01-07,4946.29,5556.59,100018.62,000300.XSHG,18,沪深300
2008-01-08,4946.29,5528.05,99504.9,000300.XSHG,18,沪深300
2008-01-09,4946.29,5613.76,101047.68,000300.XSHG,18,沪深300
2008-01-10,4946.29,5672.15,102098.7,000300.XSHG,18,沪深300
2008-01-11,4946.29,5699.15,102584.7,000300.XSHG,18,沪深300
2008-01-14,4946.29,5731.76,103171.68,000300.XSHG,18,沪深300
2008-01-15,4946.29,5696.45,102536.1,000300.XSHG,18,沪深300
2008-01-16,4946.29,5505.72,99102.96,000300.XSHG,18,沪深300
2008-01-17,4946.29,5365.62,96581.16,000300.XSHG,18,沪深300
2008-01-18,4946.29,5414.47,97460.46,000300.XSHG,18,沪深300
2008-01-21,4946.29,5145.73,0.0,000300.XSHG,0,沪深300
2009-02-02,2057.06,2057.06,92567.7,000300.XSHG,45,沪深300
2009-02-03,2057.06,2108.91,94900.95,000300.XSHG,45,沪深300
2009-02-04,2057.06,2166.41,97488.45,000300.XSHG,45,沪深300
2009-02-05,2057.06,2150.97,96793.65,000300.XSHG,45,沪深300
2009-02-06,2057.06,2237.28,100677.6,000300.XSHG,45,沪深300
2009-02-09,2057.06,2296.67,103350.15,000300.XSHG,45,沪深300
2009-02-10,2057.06,2326.76,104704.2,000300.XSHG,45,沪深300
2009-02-11,2057.06,2331.14,104901.3,000300.XSHG,45,沪深300
2009-02-12,2057.06,2318.34,104325.3,000300.XSHG,45,沪深300
2009-02-13,2057.06,2399.06,107957.7,000300.XSHG,45,沪深300
2009-02-16,2057.06,2462.24,110800.8,000300.XSHG,45,沪深300
2009-02-17,2057.06,2385.29,107338.05,000300.XSHG,45,沪深300
2009-02-18,2057.06,2275.84,102412.8,000300.XSHG,45,沪深300
2009-02-19,2057.06,2298.41,103428.45,000300.XSHG,45,沪深300
2009-02-20,2057.06,2344.32,105494.4,000300.XSHG,45,沪深300
