date,cash,dividend_receivable,market_value,total_value,transaction_cost
2006-01-04,100000.0,0,0.0,100000.0,0.0
2006-01-05,100000.0,0,0.0,100000.0,0.0
2006-01-06,100000.0,0,0.0,100000.0,0.0
2006-01-09,100000.0,0,0.0,100000.0,0.0
2006-01-10,100000.0,0,0.0,100000.0,0.0
2006-01-11,100000.0,0,0.0,100000.0,0.0
2006-01-12,100000.0,0,0.0,100000.0,0.0
2006-01-13,100000.0,0,0.0,100000.0,0.0
2006-01-16,100000.0,0,0.0,100000.0,0.0
2006-01-17,100000.0,0,0.0,100000.0,0.0
2006-01-18,574.904,0,99345.62,99920.524,79.476
2006-01-19,574.904,0,100113.22,100688.124,0.0
2006-01-20,574.904,0,100327.34,100902.244,0.0
2006-01-23,574.904,0,100612.16,101187.064,0.0
2006-01-24,574.904,0,100908.09,101482.994,0.0
2006-01-25,574.904,0,101969.6,102544.504,0.0
2006-02-06,574.904,0,104356.23,104931.134,0.0
2006-02-07,574.904,0,104023.94,104598.844,0.0
2006-02-08,574.904,0,104340.07,104914.974,0.0
2006-02-09,574.904,0,102979.6,103554.504,0.0
2006-02-10,574.904,0,104266.34,104841.244,0.0
2006-02-13,574.904,0,104192.61,104767.514,0.0
2006-02-14,574.904,0,104891.53,105466.434,0.0
2006-02-15,574.904,0,105207.66,105782.564,0.0
2006-02-16,103524.598,0,0.0,103524.598,82.426
2006-02-17,103524.598,0,0.0,103524.598,0.0
2006-02-20,103524.598,0,0.0,103524.598,0.0
2006-02-21,599.143,0,102843.18,103442.323,82.275
2006-02-22,599.143,0,102750.12,103349.263,0.0
2006-02-23,599.143,0,103095.63,103694.773,0.0
2006-02-24,599.143,0,103894.56,104493.703,0.0
2006-02-27,599.143,0,103736.16,104335.303,0.0
2006-02-28,599.143,0,104247.99,104847.133,0.0
2006-03-01,599.143,0,104605.38,105204.523,0.0
2006-03-02,103345.211,0,0.0,103345.211,82.263
2006-03-03,103345.211,0,0.0,103345.211,0.0
2006-03-06,103345.211,0,0.0,103345.211,0.0
2006-03-07,103345.211,0,0.0,103345.211,0.0
2006-03-08,103345.211,0,0.0,103345.211,0.0
2006-03-09,103345.211,0,0.0,103345.211,0.0
2006-03-10,103345.211,0,0.0,103345.211,0.0
2006-03-13,103345.211,0,0.0,103345.211,0.0
2006-03-14,103345.211,0,0.0,103345.211,0.0
2006-03-15,366.894,0,102896.0,103262.894,82.317
2006-03-16,366.894,0,102762.0,103128.894,0.0
2006-03-17,366.894,0,102402.0,102768.894,0.0
2006-03-20,366.894,0,103766.0,104132.894,0.0
2006-03-21,366.894,0,104076.0,104442.894,0.0
2006-03-22,366.894,0,104767.0,105133.894,0.0
2006-03-23,366.894,0,104854.0,105220.894,0.0
2006-03-24,366.894,0,104260.0,104626.894,0.0
2006-03-27,366.894,0,104579.0,104945.894,0.0
2006-03-28,366.894,0,105598.0,105964.894,0.0
2006-03-29,366.894,0,106529.0,106895.894,0.0
2006-03-30,366.894,0,105563.0,105929.894,0.0
2006-03-31,366.894,0,106109.0,106475.894,0.0
2006-04-03,366.894,0,107932.0,108298.894,0.0
2006-04-04,366.894,0,108937.0,109303.894,0.0
2006-04-05,366.894,0,109997.0,110363.894,0.0
