date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2006-01-04,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-05,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-06,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-09,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-10,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-11,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-12,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-13,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-16,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-17,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-18,574.904,99345.62,1.0,99920.524,0.999205,100000
2006-01-19,574.904,100113.22,0.999,100688.124,1.006881,100000
2006-01-20,574.904,100327.34,1.007,100902.244,1.009022,100000
2006-01-23,574.904,100612.16,1.009,101187.064,1.011871,100000
2006-01-24,574.904,100908.09,1.012,101482.994,1.01483,100000
2006-01-25,574.904,101969.6,1.015,102544.504,1.025445,100000
2006-02-06,574.904,104356.23,1.025,104931.134,1.049311,100000
2006-02-07,574.904,104023.94,1.049,104598.844,1.045988,100000
2006-02-08,574.904,104340.07,1.046,104914.974,1.04915,100000
2006-02-09,574.904,102979.6,1.049,103554.504,1.035545,100000
2006-02-10,574.904,104266.34,1.036,104841.244,1.048412,100000
2006-02-13,574.904,104192.61,1.048,104767.514,1.047675,100000
2006-02-14,574.904,104891.53,1.048,105466.434,1.054664,100000
2006-02-15,574.904,105207.66,1.055,105782.564,1.057826,100000
2006-02-16,103524.598,0.0,1.058,103524.598,1.035246,100000
2006-02-17,103524.598,0.0,1.035,103524.598,1.035246,100000
2006-02-20,103524.598,0.0,1.035,103524.598,1.035246,100000
2006-02-21,599.143,102843.18,1.035,103442.323,1.034423,100000
2006-02-22,599.143,102750.12,1.034,103349.263,1.033493,100000
2006-02-23,599.143,103095.63,1.033,103694.773,1.036948,100000
2006-02-24,599.143,103894.56,1.037,104493.703,1.044937,100000
2006-02-27,599.143,103736.16,1.045,104335.303,1.043353,100000
2006-02-28,599.143,104247.99,1.043,104847.133,1.048471,100000
2006-03-01,599.143,104605.38,1.048,105204.523,1.052045,100000
2006-03-02,103345.211,0.0,1.052,103345.211,1.033452,100000
2006-03-03,103345.211,0.0,1.033,103345.211,1.033452,100000
2006-03-06,103345.211,0.0,1.033,103345.211,1.033452,100000
2006-03-07,103345.211,0.0,1.033,103345.211,1.033452,100000
2006-03-08,103345.211,0.0,1.033,103345.211,1.033452,100000
2006-03-09,103345.211,0.0,1.033,103345.211,1.033452,100000
2006-03-10,103345.211,0.0,1.033,103345.211,1.033452,100000
2006-03-13,103345.211,0.0,1.033,103345.211,1.033452,100000
2006-03-14,103345.211,0.0,1.033,103345.211,1.033452,100000
2006-03-15,366.894,102896.0,1.033,103262.894,1.032629,100000
2006-03-16,366.894,102762.0,1.033,103128.894,1.031289,100000
2006-03-17,366.894,102402.0,1.031,102768.894,1.027689,100000
2006-03-20,366.894,103766.0,1.028,104132.894,1.041329,100000
2006-03-21,366.894,104076.0,1.041,104442.894,1.044429,100000
2006-03-22,366.894,104767.0,1.044,105133.894,1.051339,100000
2006-03-23,366.894,104854.0,1.051,105220.894,1.052209,100000
2006-03-24,366.894,104260.0,1.052,104626.894,1.046269,100000
2006-03-27,366.894,104579.0,1.046,104945.894,1.049459,100000
2006-03-28,366.894,105598.0,1.049,105964.894,1.059649,100000
2006-03-29,366.894,106529.0,1.06,106895.894,1.068959,100000
2006-03-30,366.894,105563.0,1.069,105929.894,1.059299,100000
2006-03-31,366.894,106109.0,1.059,106475.894,1.064759,100000
2006-04-03,366.894,107932.0,1.065,108298.894,1.082989,100000
2006-04-04,366.894,108937.0,1.083,109303.894,1.093039,100000
2006-04-05,366.894,109997.0,1.093,110363.894,1.103639,100000
2006-04-06,366.894,110324.0,1.104,110690.894,1.106909,100000
2006-04-07,366.894,110315.0,1.107,110681.894,1.106819,100000
2006-04-10,366.894,111791.0,1.107,112157.894,1.121579,100000
2006-04-11,366.894,112331.0,1.122,112697.894,1.126979,100000
2006-04-12,366.894,111707.0,1.127,112073.894,1.120739,100000
2006-04-13,109671.38,0.0,1.121,109671.38,1.096714,100000
2006-04-14,-40.099,109623.78,1.097,109583.681,1.095837,100000
2006-04-17,-40.099,110192.18,1.096,110152.081,1.101521,100000
2006-04-18,-40.099,110865.44,1.102,110825.341,1.108253,100000
2006-04-19,-40.099,111547.52,1.108,111507.421,1.115074,100000
2006-04-20,-40.099,111169.24,1.115,111129.141,1.111291,100000
2006-04-21,-40.099,112617.68,1.111,112577.581,1.125776,100000
2006-04-24,-40.099,111984.6,1.126,111944.501,1.119445,100000
2006-04-25,-40.099,111909.14,1.119,111869.041,1.11869,100000
2006-04-26,-40.099,113261.54,1.119,113221.441,1.132214,100000
2006-04-27,-40.099,113216.46,1.132,113176.361,1.131764,100000
2006-04-28,-40.099,114890.3,1.132,114850.201,1.148502,100000
2006-05-08,-40.099,119407.12,1.149,119367.021,1.19367,100000
2006-05-09,-40.099,122657.78,1.194,122617.681,1.226177,100000
2006-05-10,-40.099,124061.14,1.226,124021.041,1.24021,100000
2006-05-11,-40.099,122993.92,1.24,122953.821,1.229538,100000
2006-05-12,-40.099,127033.48,1.23,126993.381,1.269934,100000
2006-05-15,-40.099,132511.68,1.27,132471.581,1.324716,100000
2006-05-16,-40.099,130450.74,1.325,130410.641,1.304106,100000
2006-05-17,-40.099,130880.96,1.304,130840.861,1.308409,100000
2006-05-18,-40.099,130457.6,1.308,130417.501,1.304175,100000
2006-05-19,-40.099,133877.8,1.304,133837.701,1.338377,100000
2006-05-22,-40.099,134619.66,1.338,134579.561,1.345796,100000
2006-05-23,128986.297,0.0,1.346,128986.297,1.289863,100000
2006-05-24,128986.297,0.0,1.29,128986.297,1.289863,100000
2006-05-25,128986.297,0.0,1.29,128986.297,1.289863,100000
2006-05-26,128986.297,0.0,1.29,128986.297,1.289863,100000
2006-05-29,452.292,128431.26,1.29,128883.552,1.288836,100000
2006-05-30,452.292,129603.44,1.289,130055.732,1.300557,100000
2006-05-31,452.292,128352.3,1.301,128804.592,1.288046,100000
2006-06-01,452.292,131870.72,1.288,132323.012,1.32323,100000
2006-06-02,452.292,130671.28,1.323,131123.572,1.311236,100000
2006-06-05,452.292,131897.04,1.311,132349.332,1.323493,100000
2006-06-06,452.292,131519.16,1.323,131971.452,1.319715,100000
2006-06-07,124454.631,0.0,1.32,124454.631,1.244546,100000
2006-06-08,124454.631,0.0,1.245,124454.631,1.244546,100000
2006-06-09,124454.631,0.0,1.245,124454.631,1.244546,100000
2006-06-12,124454.631,0.0,1.245,124454.631,1.244546,100000
2006-06-13,124454.631,0.0,1.245,124454.631,1.244546,100000
2006-06-14,124454.631,0.0,1.245,124454.631,1.244546,100000
2006-06-15,124454.631,0.0,1.245,124454.631,1.244546,100000
2006-06-16,124454.631,0.0,1.245,124454.631,1.244546,100000
2006-06-19,210.545,124144.77,1.245,124355.315,1.243553,100000
2006-06-20,210.545,124454.46,1.244,124665.005,1.24665,100000
2006-06-21,210.545,124018.29,1.247,124228.835,1.242288,100000
2006-06-22,210.545,123834.15,1.242,124044.695,1.240447,100000
2006-06-23,210.545,124568.85,1.24,124779.395,1.247794,100000
2006-06-26,210.545,126797.13,1.248,127007.675,1.270077,100000
2006-06-27,210.545,126842.7,1.27,127053.245,1.270532,100000
2006-06-28,210.545,126747.84,1.271,126958.385,1.269584,100000
2006-06-29,210.545,129746.16,1.27,129956.705,1.299567,100000
2006-06-30,210.545,129638.28,1.3,129848.825,1.298488,100000
2006-07-03,210.545,132090.69,1.298,132301.235,1.323012,100000
2006-07-04,210.545,131223.93,1.323,131434.475,1.314345,100000
2006-07-05,210.545,129549.93,1.314,129760.475,1.297605,100000
2006-07-06,210.545,131937.24,1.298,132147.785,1.321478,100000
2006-07-07,210.545,131169.99,1.321,131380.535,1.313805,100000
2006-07-10,210.545,131327.16,1.314,131537.705,1.315377,100000
2006-07-11,210.545,131927.94,1.315,132138.485,1.321385,100000
2006-07-12,210.545,131985.6,1.321,132196.145,1.321961,100000
2006-07-13,125296.766,0.0,1.322,125296.766,1.252968,100000
2006-07-14,125296.766,0.0,1.253,125296.766,1.252968,100000
2006-07-17,125296.766,0.0,1.253,125296.766,1.252968,100000
2006-07-18,125296.766,0.0,1.253,125296.766,1.252968,100000
2006-07-19,125296.766,0.0,1.253,125296.766,1.252968,100000
2006-07-20,125296.766,0.0,1.253,125296.766,1.252968,100000
2006-07-21,125296.766,0.0,1.253,125296.766,1.252968,100000
2006-07-24,125296.766,0.0,1.253,125296.766,1.252968,100000
2006-07-25,147.257,125049.47,1.253,125196.727,1.251967,100000
2006-07-26,147.257,124788.3,1.252,124935.557,1.249356,100000
2006-07-27,123402.713,0.0,1.249,123402.713,1.234027,100000
2006-07-28,123402.713,0.0,1.234,123402.713,1.234027,100000
2006-07-31,123402.713,0.0,1.234,123402.713,1.234027,100000
2006-08-01,123402.713,0.0,1.234,123402.713,1.234027,100000
2006-08-02,123402.713,0.0,1.234,123402.713,1.234027,100000
2006-08-03,123402.713,0.0,1.234,123402.713,1.234027,100000
2006-08-04,123402.713,0.0,1.234,123402.713,1.234027,100000
2006-08-07,123402.713,0.0,1.234,123402.713,1.234027,100000
2006-08-08,123402.713,0.0,1.234,123402.713,1.234027,100000
2006-08-09,123402.713,0.0,1.234,123402.713,1.234027,100000
2006-08-10,-28.543,123332.59,1.234,123304.047,1.23304,100000
2006-08-11,-28.543,123738.05,1.233,123709.507,1.237095,100000
2006-08-14,120709.629,0.0,1.237,120709.629,1.207096,100000
2006-08-15,356.724,120256.7,1.207,120613.424,1.206134,100000
2006-08-16,356.724,121939.15,1.206,122295.874,1.222959,100000
2006-08-17,356.724,120804.85,1.223,121161.574,1.211616,100000
2006-08-18,356.724,120447.65,1.212,120804.374,1.208044,100000
2006-08-21,356.724,120703.2,1.208,121059.924,1.210599,100000
2006-08-22,356.724,122100.65,1.211,122457.374,1.224574,100000
2006-08-23,356.724,122139.6,1.225,122496.324,1.224963,100000
2006-08-24,356.724,122778.0,1.225,123134.724,1.231347,100000
2006-08-25,356.724,123066.8,1.231,123423.524,1.234235,100000
2006-08-28,356.724,125959.55,1.234,126316.274,1.263163,100000
2006-08-29,356.724,126365.2,1.263,126721.924,1.267219,100000
2006-08-30,356.724,126793.65,1.267,127150.374,1.271504,100000
2006-08-31,356.724,127175.55,1.272,127532.274,1.275323,100000
2006-09-01,356.724,125219.5,1.275,125576.224,1.255762,100000
2006-09-04,356.724,127037.8,1.256,127394.524,1.273945,100000
2006-09-05,356.724,127364.6,1.274,127721.324,1.277213,100000
2006-09-06,356.724,127905.15,1.277,128261.874,1.282619,100000
2006-09-07,126451.867,0.0,1.283,126451.867,1.264519,100000
2006-09-08,126451.867,0.0,1.265,126451.867,1.264519,100000
2006-09-11,507.752,125843.44,1.265,126351.192,1.263512,100000
2006-09-12,507.752,126678.16,1.264,127185.912,1.271859,100000
2006-09-13,507.752,125808.66,1.272,126316.412,1.263164,100000
2006-09-14,507.752,125798.32,1.263,126306.072,1.263061,100000
2006-09-15,507.752,128058.08,1.263,128565.832,1.285658,100000
2006-09-18,507.752,129302.64,1.286,129810.392,1.298104,100000
2006-09-19,507.752,129561.14,1.298,130068.892,1.300689,100000
2006-09-20,507.752,129575.24,1.301,130082.992,1.30083,100000
2006-09-21,507.752,130412.78,1.301,130920.532,1.309205,100000
2006-09-22,507.752,129235.9,1.309,129743.652,1.297437,100000
2006-09-25,507.752,129005.6,1.297,129513.352,1.295134,100000
2006-09-26,128024.757,0.0,1.295,128024.757,1.280248,100000
2006-09-27,408.586,127514.16,1.28,127922.746,1.279227,100000
2006-09-28,408.586,128991.0,1.279,129399.586,1.293996,100000
2006-09-29,408.586,130503.18,1.294,130911.766,1.309118,100000
2006-10-09,408.586,133554.51,1.309,133963.096,1.339631,100000
2006-10-10,408.586,133663.32,1.34,134071.906,1.340719,100000
2006-10-11,408.586,133539.63,1.341,133948.216,1.339482,100000
2006-10-12,408.586,132664.5,1.339,133073.086,1.330731,100000
2006-10-13,408.586,133071.84,1.331,133480.426,1.334804,100000
2006-10-16,408.586,131922.36,1.335,132330.946,1.323309,100000
2006-10-17,131847.201,0.0,1.323,131847.201,1.318472,100000
2006-10-18,921.854,130820.69,1.318,131742.544,1.317425,100000
2006-10-19,921.854,130983.58,1.317,131905.434,1.319054,100000
2006-10-20,921.854,131056.38,1.319,131978.234,1.319782,100000
2006-10-23,129012.819,0.0,1.32,129012.819,1.290128,100000
2006-10-24,745.838,128164.45,1.29,128910.288,1.289103,100000
2006-10-25,745.838,128766.98,1.289,129512.818,1.295128,100000
2006-10-26,745.838,129592.9,1.295,130338.738,1.303387,100000
2006-10-27,745.838,128075.45,1.303,128821.288,1.288213,100000
2006-10-30,745.838,128715.36,1.288,129461.198,1.294612,100000
2006-10-31,745.838,130337.83,1.295,131083.668,1.310837,100000
2006-11-01,745.838,131667.49,1.311,132413.328,1.324133,100000
2006-11-02,745.838,131689.74,1.324,132435.578,1.324356,100000
2006-11-03,745.838,132457.81,1.324,133203.648,1.332036,100000
2006-11-06,745.838,134202.21,1.332,134948.048,1.34948,100000
2006-11-07,745.838,134932.9,1.349,135678.738,1.356787,100000
2006-11-08,745.838,133337.13,1.357,134082.968,1.34083,100000
2006-11-09,745.838,135699.19,1.341,136445.028,1.36445,100000
2006-11-10,745.838,133861.34,1.364,134607.178,1.346072,100000
2006-11-13,131985.182,0.0,1.346,131985.182,1.319852,100000
2006-11-14,131985.182,0.0,1.32,131985.182,1.319852,100000
2006-11-15,1426.219,130454.6,1.32,131880.819,1.318808,100000
2006-11-16,1426.219,130329.65,1.319,131755.869,1.317559,100000
2006-11-17,1426.219,132776.8,1.318,134203.019,1.34203,100000
2006-11-20,1426.219,135418.6,1.342,136844.819,1.368448,100000
2006-11-21,1426.219,137041.25,1.368,138467.469,1.384675,100000
2006-11-22,1426.219,138042.55,1.385,139468.769,1.394688,100000
2006-11-23,1426.219,138967.35,1.395,140393.569,1.403936,100000
2006-11-24,1426.219,139109.3,1.404,140535.519,1.405355,100000
2006-11-27,1426.219,140403.0,1.405,141829.219,1.418292,100000
2006-11-28,1426.219,139740.85,1.418,141167.069,1.411671,100000
2006-11-29,1426.219,141706.9,1.412,143133.119,1.431331,100000
2006-11-30,1426.219,145720.6,1.431,147146.819,1.471468,100000
2006-12-01,1426.219,146983.7,1.471,148409.919,1.484099,100000
2006-12-04,1426.219,151362.9,1.484,152789.119,1.527891,100000
2006-12-05,1426.219,152509.55,1.528,153935.769,1.539358,100000
2006-12-06,1426.219,151249.85,1.539,152676.069,1.526761,100000
2006-12-07,1426.219,150935.35,1.527,152361.569,1.523616,100000
2006-12-08,146794.131,0.0,1.524,146794.131,1.467941,100000
2006-12-11,-96.728,146773.44,1.468,146676.712,1.466767,100000
2006-12-12,-96.728,147828.78,1.467,147732.052,1.477321,100000
2006-12-13,-96.728,147916.52,1.477,147819.792,1.478198,100000
2006-12-14,-96.728,150563.48,1.478,150466.752,1.504668,100000
2006-12-15,-96.728,153146.48,1.505,153049.752,1.530498,100000
2006-12-18,-96.728,157121.02,1.53,157024.292,1.570243,100000
2006-12-19,-96.728,157558.08,1.57,157461.352,1.574614,100000
2006-12-20,-96.728,158797.1,1.575,158700.372,1.587004,100000
2006-12-21,-96.728,156536.36,1.587,156439.632,1.564396,100000
2006-12-22,-96.728,155442.48,1.564,155345.752,1.553458,100000
2006-12-25,-96.728,159006.2,1.553,158909.472,1.589095,100000
2006-12-26,-96.728,158935.68,1.589,158838.952,1.58839,100000
2006-12-27,-96.728,162596.16,1.588,162499.432,1.624994,100000
2006-12-28,-96.728,162354.26,1.625,162257.532,1.622575,100000
2006-12-29,-96.728,167366.1,1.623,167269.372,1.672694,100000
2007-01-04,-96.728,169501.38,1.673,169404.652,1.694047,100000
2007-01-05,-96.728,169976.16,1.694,169879.432,1.698794,100000
2007-01-08,-96.728,174787.92,1.699,174691.192,1.746912,100000
2007-01-09,-96.728,180407.38,1.747,180310.652,1.803107,100000
2007-01-10,-96.728,184989.54,1.803,184892.812,1.848928,100000
2007-01-11,-96.728,182993.66,1.849,182896.932,1.828969,100000
2007-01-12,-96.728,178247.5,1.829,178150.772,1.781508,100000
2007-01-15,-96.728,187561.88,1.782,187465.152,1.874652,100000
2007-01-16,-96.728,193017.34,1.875,192920.612,1.929206,100000
2007-01-17,-96.728,189332.26,1.929,189235.532,1.892355,100000
2007-01-18,-96.728,190001.38,1.892,189904.652,1.899047,100000
2007-01-19,-96.728,196479.38,1.899,196382.652,1.963827,100000
2007-01-22,-96.728,204287.42,1.964,204190.692,2.041907,100000
2007-01-23,-96.728,205666.66,2.042,205569.932,2.055699,100000
2007-01-24,-96.728,207987.26,2.056,207890.532,2.078905,100000
2007-01-25,-96.728,201132.06,2.079,201035.332,2.010353,100000
2007-01-26,-96.728,206059.44,2.01,205962.712,2.059627,100000
2007-01-29,-96.728,211307.44,2.06,211210.712,2.112107,100000
2007-01-30,-96.728,209254.16,2.112,209157.432,2.091574,100000
2007-01-31,195344.674,0.0,2.092,195344.674,1.953447,100000
2007-02-01,195344.674,0.0,1.953,195344.674,1.953447,100000
2007-02-02,195344.674,0.0,1.953,195344.674,1.953447,100000
2007-02-05,195344.674,0.0,1.953,195344.674,1.953447,100000
2007-02-06,195344.674,0.0,1.953,195344.674,1.953447,100000
2007-02-07,195344.674,0.0,1.953,195344.674,1.953447,100000
2007-02-08,-70.133,195258.6,1.953,195188.467,1.951885,100000
2007-02-09,193951.775,0.0,1.952,193951.775,1.939518,100000
2007-02-12,-63.733,193860.42,1.94,193796.687,1.937967,100000
2007-02-13,-63.733,196765.14,1.938,196701.407,1.967014,100000
2007-02-14,-63.733,201891.3,1.967,201827.567,2.018276,100000
2007-02-15,-63.733,208153.14,2.018,208089.407,2.080894,100000
2007-02-16,-63.733,208785.72,2.081,208721.987,2.08722,100000
2007-02-26,-63.733,211199.04,2.087,211135.307,2.111353,100000
2007-02-27,191467.14,0.0,2.111,191467.14,1.914671,100000
2007-02-28,191467.14,0.0,1.915,191467.14,1.914671,100000
2007-03-01,191467.14,0.0,1.915,191467.14,1.914671,100000
2007-03-02,191467.14,0.0,1.915,191467.14,1.914671,100000
2007-03-05,191467.14,0.0,1.915,191467.14,1.914671,100000
2007-03-06,191467.14,0.0,1.915,191467.14,1.914671,100000
2007-03-07,2286.796,189029.12,1.915,191315.916,1.913159,100000
2007-03-08,2286.796,191816.99,1.913,194103.786,1.941038,100000
2007-03-09,2286.796,190631.47,1.941,192918.266,1.929183,100000
2007-03-12,2286.796,190980.41,1.929,193267.206,1.932672,100000
2007-03-13,2286.796,192732.41,1.933,195019.206,1.950192,100000
2007-03-14,2286.796,189607.28,1.95,191894.076,1.918941,100000
2007-03-15,2286.796,193125.15,1.919,195411.946,1.954119,100000
2007-03-16,2286.796,190108.79,1.954,192395.586,1.923956,100000
2007-03-19,2286.796,194136.93,1.924,196423.726,1.964237,100000
2007-03-20,2286.796,195112.21,1.964,197399.006,1.97399,100000
2007-03-21,2286.796,197289.8,1.974,199576.596,1.995766,100000
2007-03-22,2286.796,197926.36,1.996,200213.156,2.002132,100000
2007-03-23,2286.796,198287.71,2.002,200574.506,2.005745,100000
2007-03-26,2286.796,201774.19,2.006,204060.986,2.04061,100000
2007-03-27,2286.796,203233.46,2.041,205520.256,2.055203,100000
2007-03-28,2286.796,204228.45,2.055,206515.246,2.065152,100000
2007-03-29,2286.796,203180.9,2.065,205467.696,2.054677,100000
2007-03-30,2286.796,203069.94,2.055,205356.736,2.053567,100000
2007-04-02,2286.796,208058.03,2.054,210344.826,2.103448,100000
2007-04-03,2286.796,210832.03,2.103,213118.826,2.131188,100000
2007-04-04,2286.796,212562.86,2.131,214849.656,2.148497,100000
2007-04-05,2286.796,214987.92,2.148,217274.716,2.172747,100000
2007-04-06,2286.796,216956.73,2.173,219243.526,2.192435,100000
2007-04-09,2286.796,221786.41,2.192,224073.206,2.240732,100000
2007-04-10,2286.796,224954.61,2.241,227241.406,2.272414,100000
2007-04-11,2286.796,227856.36,2.272,230143.156,2.301432,100000
2007-04-12,2286.796,231880.12,2.301,234166.916,2.341669,100000
2007-04-13,2286.796,231353.79,2.342,233640.586,2.336406,100000
2007-04-16,2286.796,237688.0,2.336,239974.796,2.399748,100000
2007-04-17,2286.796,239702.8,2.4,241989.596,2.419896,100000
