date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2006-01-18,983.62,983.62,99345.62,000300.XSHG,101,沪深300
2006-01-19,983.62,991.22,100113.22,000300.XSHG,101,沪深300
2006-01-20,983.62,993.34,100327.34,000300.XSHG,101,沪深300
2006-01-23,983.62,996.16,100612.16,000300.XSHG,101,沪深300
2006-01-24,983.62,999.09,100908.09,000300.XSHG,101,沪深300
2006-01-25,983.62,1009.6,101969.6,000300.XSHG,101,沪深300
2006-02-06,983.62,1033.23,104356.23,000300.XSHG,101,沪深300
2006-02-07,983.62,1029.94,104023.94,000300.XSHG,101,沪深300
2006-02-08,983.62,1033.07,104340.07,000300.XSHG,101,沪深300
2006-02-09,983.62,1019.6,102979.6,000300.XSHG,101,沪深300
2006-02-10,983.62,1032.34,104266.34,000300.XSHG,101,沪深300
2006-02-13,983.62,1031.61,104192.61,000300.XSHG,101,沪深300
2006-02-14,983.62,1038.53,104891.53,000300.XSHG,101,沪深300
2006-02-15,983.62,1041.66,105207.66,000300.XSHG,101,沪深300
2006-02-16,983.62,1020.12,0.0,000300.XSHG,0,沪深300
2006-02-21,1038.82,1038.82,102843.18,000300.XSHG,99,沪深300
2006-02-22,1038.82,1037.88,102750.12,000300.XSHG,99,沪深300
2006-02-23,1038.82,1041.37,103095.63,000300.XSHG,99,沪深300
2006-02-24,1038.82,1049.44,103894.56,000300.XSHG,99,沪深300
2006-02-27,1038.82,1047.84,103736.16,000300.XSHG,99,沪深300
2006-02-28,1038.82,1053.01,104247.99,000300.XSHG,99,沪深300
2006-03-01,1038.82,1056.62,104605.38,000300.XSHG,99,沪深300
2006-03-02,1038.82,1038.67,0.0,000300.XSHG,0,沪深300
2006-03-15,1028.96,1028.96,102896.0,000300.XSHG,100,沪深300
2006-03-16,1028.96,1027.62,102762.0,000300.XSHG,100,沪深300
2006-03-17,1028.96,1024.02,102402.0,000300.XSHG,100,沪深300
2006-03-20,1028.96,1037.66,103766.0,000300.XSHG,100,沪深300
2006-03-21,1028.96,1040.76,104076.0,000300.XSHG,100,沪深300
2006-03-22,1028.96,1047.67,104767.0,000300.XSHG,100,沪深300
2006-03-23,1028.96,1048.54,104854.0,000300.XSHG,100,沪深300
2006-03-24,1028.96,1042.6,104260.0,000300.XSHG,100,沪深300
2006-03-27,1028.96,1045.79,104579.0,000300.XSHG,100,沪深300
2006-03-28,1028.96,1055.98,105598.0,000300.XSHG,100,沪深300
2006-03-29,1028.96,1065.29,106529.0,000300.XSHG,100,沪深300
2006-03-30,1028.96,1055.63,105563.0,000300.XSHG,100,沪深300
2006-03-31,1028.96,1061.09,106109.0,000300.XSHG,100,沪深300
2006-04-03,1028.96,1079.32,107932.0,000300.XSHG,100,沪深300
2006-04-04,1028.96,1089.37,108937.0,000300.XSHG,100,沪深300
2006-04-05,1028.96,1099.97,109997.0,000300.XSHG,100,沪深300
